,test,train,val
loss,"tensor(0.0588, device='cuda:0')","tensor(0.0241, device='cuda:0')","tensor(0.2277, device='cuda:0')"
acc,0.9628571420907974,0.968765439465642,0.9757142812013626
precision,0.9566326811909676,0.9921479821205139,0.9513227716088295
recall,0.8511364534497261,0.9448404675349593,0.9340600073337555
f1,0.897358849644661,0.9676015321165323,0.9413709044456482
auroc,0.9881610423326492,0.9962364137172699,0.9939630925655365
