,test,train,val
loss,"tensor(0.0914, device='cuda:0')","tensor(0.1038, device='cuda:0')","tensor(0.0646, device='cuda:0')"
acc,0.9714285582304001,0.9602469215169549,0.9599999934434891
precision,0.9630258679389954,0.9951816191896796,0.966404139995575
recall,0.8994559347629547,0.9251040853559971,0.815929040312767
f1,0.929303340613842,0.9583869483321905,0.8814169764518738
auroc,0.9946518689393997,0.9956958955153823,0.9909012019634247
