,test,train,val
loss,"tensor(0.6760, device='cuda:0')","tensor(0.4910, device='cuda:0')","tensor(0.5864, device='cuda:0')"
acc,0.681428574025631,0.8296296242624521,0.692857138812542
precision,0.3939345218241215,0.7945272517390549,0.3993012011051178
recall,0.8712984323501587,0.89335304684937,0.8791003674268723
f1,0.5407775118947029,0.839699980802834,0.5459552556276321
auroc,0.847833126783371,0.9138865694403648,0.8520659580826759
