,test,train,val
loss,tensor(0.0408),tensor(0.1255),tensor(0.0882)
acc,0.978571429848671,0.9640740836039186,0.9699999988079071
precision,0.9751493036746979,0.9920291323214769,0.9398441091179848
recall,0.9186810180544853,0.9360453831031919,0.9106767177581787
f1,0.9456239193677902,0.9628193331882358,0.9201176911592484
auroc,0.9965687692165375,0.9953027702867985,0.9889478087425232
